OBJECTID,Country Name,Country Code,Indicator Name,Indicator Code,2014
94,Guinea,GIN,CO2 emissions (kt),EN.ATM.CO2E.KT,2383.55
185,Guinea-Bissau,GNB,CO2 emissions (kt),EN.ATM.CO2E.KT,271.358
95,Guyana,GUY,CO2 emissions (kt),EN.ATM.CO2E.KT,2009.516
97,Haiti,HTI,CO2 emissions (kt),EN.ATM.CO2E.KT,2808.922
99,Honduras,HND,CO2 emissions (kt),EN.ATM.CO2E.KT,9508.531
102,Hungary,HUN,CO2 emissions (kt),EN.ATM.CO2E.KT,41341.758
103,Iceland,ISL,CO2 emissions (kt),EN.ATM.CO2E.KT,1983.847
106,India,IND,CO2 emissions (kt),EN.ATM.CO2E.KT,2232729.957
104,Indonesia,IDN,CO2 emissions (kt),EN.ATM.CO2E.KT,369945.295
108,"Iran, Islamic Rep.",IRN,CO2 emissions (kt),EN.ATM.CO2E.KT,652392.303
112,Iraq,IRQ,CO2 emissions (kt),EN.ATM.CO2E.KT,166628.48
63,Ireland,IRL,CO2 emissions (kt),EN.ATM.CO2E.KT,34004.091
109,Israel,ISR,CO2 emissions (kt),EN.ATM.CO2E.KT,62881.716
110,Italy,ITA,CO2 emissions (kt),EN.ATM.CO2E.KT,320411.459
115,Jamaica,JAM,CO2 emissions (kt),EN.ATM.CO2E.KT,7293.663
113,Japan,JPN,CO2 emissions (kt),EN.ATM.CO2E.KT,1206674.021
117,Jordan,JOR,CO2 emissions (kt),EN.ATM.CO2E.KT,26571.082
127,Kazakhstan,KAZ,CO2 emissions (kt),EN.ATM.CO2E.KT,248395.246
120,Kenya,KEN,CO2 emissions (kt),EN.ATM.CO2E.KT,14436.979
123,Kiribati,KIR,CO2 emissions (kt),EN.ATM.CO2E.KT,58.672
122,"Korea, Dem. People’s Rep.",PRK,CO2 emissions (kt),EN.ATM.CO2E.KT,31349.183
124,"Korea, Rep.",KOR,CO2 emissions (kt),EN.ATM.CO2E.KT,587156.373
126,Kuwait,KWT,CO2 emissions (kt),EN.ATM.CO2E.KT,88371.033
121,Kyrgyz Republic,KGZ,CO2 emissions (kt),EN.ATM.CO2E.KT,10289.602
128,Lao PDR,LAO,CO2 emissions (kt),EN.ATM.CO2E.KT,4554.414
130,Latvia,LVA,CO2 emissions (kt),EN.ATM.CO2E.KT,6926.963
129,Lebanon,LBN,CO2 emissions (kt),EN.ATM.CO2E.KT,24070.188
135,Lesotho,LSO,CO2 emissions (kt),EN.ATM.CO2E.KT,2431.221
132,Liberia,LBR,CO2 emissions (kt),EN.ATM.CO2E.KT,1224.778
137,Libya,LBY,CO2 emissions (kt),EN.ATM.CO2E.KT,59489.741
134,Liechtenstein,LIE,CO2 emissions (kt),EN.ATM.CO2E.KT,47.671
131,Lithuania,LTU,CO2 emissions (kt),EN.ATM.CO2E.KT,12838.167
136,Luxembourg,LUX,CO2 emissions (kt),EN.ATM.CO2E.KT,9662.545
138,Madagascar,MDG,CO2 emissions (kt),EN.ATM.CO2E.KT,3300.3
145,Malawi,MWI,CO2 emissions (kt),EN.ATM.CO2E.KT,1052.429
